WBS_No,Phase,Task_Type,Task_Name,Mermaid_IDs,Primary_Owner,Support_Owner,Duration_BD,Start_Date,Finish_Date,Predecessors,Verification_Method,Pass_Criteria,Status
WBS1.0.0,WBS0,Planning,Project Kickoff Meeting,,Project Manager,Team Lead,1,2026-03-23,2026-03-23,,Meeting minutes,All stakeholders present,Completed
WBS1.0.1,WBS0,Planning,Requirements Gathering,,Business Analyst,PM,3,2026-03-24,2026-03-26,WBS1.0.0,Document review,Requirements approved,Completed
WBS1.0.2,WBS0,Planning,Project Plan Creation,,Project Manager,,2,2026-03-27,2026-03-28,WBS1.0.1,Plan review,Schedule approved,In Progress
WBS1.1.0,PH1,Design,System Architecture Design,F_01,Lead Architect,Tech Lead,5,2026-03-29,2026-04-04,WBS1.0.2,Architecture review,Design approved by CTO,Not Started
WBS1.1.1,PH1,Design,Database Schema Design,F_02,Database Admin,Backend Dev,3,2026-03-29,2026-04-01,WBS1.0.2,Schema review,All tables normalized,Not Started
WBS1.1.2,PH1,Design,UI/UX Mockups,F_03,UI Designer,Frontend Dev,5,2026-03-29,2026-04-04,WBS1.0.2,Design review,Approved by stakeholders,Not Started
WBS1.1.3,PH1,Design,API Specification,F_04,Backend Lead,Frontend Lead,3,2026-04-05,2026-04-09,WBS1.1.0;WBS1.1.1,API review,All endpoints documented,Not Started
WBS1.2.0,PH2,Development,Backend Development,F_05,Backend Dev1,Backend Dev2,10,2026-04-10,2026-04-23,WBS1.1.3,Code review,All tests passing,Not Started
WBS1.2.1,PH2,Development,Frontend Development,F_06,Frontend Dev1,Frontend Dev2,10,2026-04-10,2026-04-23,WBS1.1.2;WBS1.1.3,Code review,All components working,Not Started
WBS1.2.2,PH2,Development,Database Implementation,F_07,Database Admin,,5,2026-04-10,2026-04-16,WBS1.1.1,DB review,Schema matches design,Not Started
WBS1.2.3,PH2,Development,API Integration,F_08,Integration Engineer,Backend Dev,5,2026-04-24,2026-04-30,WBS1.2.0;WBS1.2.1,Integration test,All endpoints connected,Not Started
WBS2.0.0,PH3,Testing,Unit Testing,F_09,QA Engineer1,Dev Team,5,2026-04-17,2026-04-23,WBS1.2.0;WBS1.2.1,Test report,80% code coverage,Not Started
WBS2.0.1,PH3,Testing,Integration Testing,F_10,QA Engineer2,Dev Team,5,2026-05-01,2026-05-07,WBS1.2.3,Test report,All integrations verified,Not Started
WBS2.0.2,PH3,Testing,User Acceptance Testing,F_11,QA Lead,Business Analyst,5,2026-05-08,2026-05-14,WBS2.0.1,UAT sign-off,All scenarios passed,Not Started
WBS2.0.3,PH3,Testing,Performance Testing,F_12,Performance Engineer,,3,2026-05-08,2026-05-12,WBS2.0.1,Performance report,Response time < 2s,Not Started
WBS2.0.4,PH3,Testing,Security Testing,F_13,Security Engineer,,3,2026-05-08,2026-05-12,WBS2.0.1,Security audit,No critical vulnerabilities,Not Started
WBS3.0.0,TEST,QA,Bug Fixing - Critical,F_14,Dev Team,QA Team,5,2026-05-15,2026-05-21,WBS2.0.2,Regression test,All critical bugs fixed,Not Started
WBS3.0.1,TEST,QA,Bug Fixing - High Priority,F_15,Dev Team,QA Team,3,2026-05-15,2026-05-19,WBS2.0.2,Regression test,All high priority bugs fixed,Not Started
WBS3.0.2,TEST,QA,Final Regression Testing,,QA Team,,3,2026-05-22,2026-05-26,WBS3.0.0;WBS3.0.1,Test report,No regressions found,Not Started
WBS4.0.0,RELEASE,Deployment,Production Environment Setup,,DevOps Engineer,Sysadmin,2,2026-05-27,2026-05-28,WBS3.0.2,Environment checklist,All systems operational,Not Started
WBS4.0.1,RELEASE,Deployment,Database Migration,,Database Admin,DevOps,1,2026-05-29,2026-05-29,WBS4.0.0,Migration verification,Data integrity confirmed,Not Started
WBS4.0.2,RELEASE,Deployment,Application Deployment,,DevOps Engineer,Dev Lead,1,2026-05-29,2026-05-29,WBS4.0.1,Deployment checklist,Application running,Not Started
WBS4.0.3,RELEASE,Deployment,Smoke Testing,,QA Lead,DevOps,1,2026-05-30,2026-05-30,WBS4.0.2,Smoke test report,All critical paths working,Not Started
WBS4.1.0,RELEASE,Documentation,User Manual,F_16,Technical Writer,,5,2026-05-15,2026-05-21,WBS2.0.2,Documentation review,Manual complete,Not Started
WBS4.1.1,RELEASE,Documentation,Admin Guide,F_17,Technical Writer,DevOps,3,2026-05-22,2026-05-26,WBS4.1.0,Documentation review,Guide complete,Not Started
WBS4.1.2,RELEASE,Documentation,API Documentation,F_18,Backend Lead,Technical Writer,3,2026-05-22,2026-05-26,WBS4.1.0,Documentation review,All endpoints documented,Not Started
WBS4.2.0,RELEASE,Training,User Training Session,,Trainer,Business Analyst,2,2026-05-29,2026-05-30,WBS4.1.0,Training feedback,Users can perform tasks,Not Started
WBS4.2.1,RELEASE,Training,Admin Training Session,,Trainer,DevOps,1,2026-05-30,2026-05-30,WBS4.1.1,Training feedback,Admins can manage system,Not Started
WBS5.0.0,RELEASE,Closure,Project Closure Meeting,,Project Manager,Stakeholders,1,2026-06-02,2026-06-02,WBS4.0.3,Meeting minutes,All deliverables accepted,Not Started
WBS5.0.1,RELEASE,Closure,Lessons Learned Documentation,,Project Manager,Team,1,2026-06-02,2026-06-02,WBS5.0.0,Document review,Lessons documented,Not Started
